time 2018-09-19 11:04:40
robNum  120
tskNum  120
max_cordx  100
max_cordy  100
max_vel  2.5
max_abi  0.02
max_rat  0.02
max_state  1.2
comp_threhold  0.1
